"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.922791686E-3,4.102131683E-1,6.118260410E-1,-1.125388454E0,1.345029784E0
1.388979168E-2,-1.321758713E0,3.327954483E-1,-2.230582963E0,2.614058006E0
2.385679167E-2,-1.891747634E0,-1.940164626E-2,-2.521826928E0,3.152569838E0
3.382379166E-2,-1.894214281E0,-1.208941072E-1,-2.535697108E0,3.167400030E0
4.379179166E-2,-1.739230907E0,-5.957347959E-2,-2.083204477E0,2.714445439E0
5.375879171E-2,-1.676765395E0,7.491949707E-2,-1.427012980E0,2.203070849E0
6.372579170E-2,-1.145488257E0,1.348981887E-1,-7.400066561E-1,1.370383421E0
7.369279169E-2,6.914420217E-2,3.442960444E-1,-9.779819012E-2,3.645341862E-1
8.366079169E-2,3.169851619E-1,1.556356314E-1,4.073813617E-2,3.554738223E-1
9.362779168E-2,6.376482224E-1,6.459790429E-1,3.031722844E-1,9.569731519E-1
1.035947917E-1,5.814520946E-1,7.400779921E-1,8.475270116E-1,1.266532277E0
1.135617917E-1,1.994447252E-1,7.415395036E-1,1.011912124E0,1.270285472E0
1.235297917E-1,-5.371234757E-1,5.684528571E-1,1.092320110E0,1.343429753E0
1.334967917E-1,-7.866952112E-1,4.890125853E-1,7.896220350E-1,1.217179371E0
1.434637917E-1,-2.194974589E-1,7.252643636E-1,2.903657126E-1,8.114799928E-1
1.534307917E-1,-1.556765619E-1,6.859614265E-1,-4.255281955E-1,8.221024971E-1
1.633987917E-1,-4.593873748E-1,-5.643603909E-1,-3.192741129E0,3.274619876E0
1.733657917E-1,-1.579272137E0,1.004164856E0,-2.870746658E0,3.426898585E0
1.833327917E-1,-4.543717794E-1,2.064217691E0,-1.771046192E0,2.757544742E0
1.932997917E-1,-1.554669392E-1,9.313509411E-1,-2.946181002E0,3.093794926E0
2.032677917E-1,-1.145203937E0,2.247602746E0,-3.986631632E-1,2.553848562E0
2.132347917E-1,6.139678761E-2,2.273901183E0,8.270822221E-1,2.420425822E0
2.232017917E-1,6.207455300E-1,1.706263720E0,1.967835989E0,2.677506186E0
2.331687917E-1,1.000083061E0,8.474746791E-1,1.891898784E0,2.301664717E0
2.431367917E-1,5.252118203E-1,2.587293524E-1,2.032509118E0,2.115155230E0
2.531037917E-1,8.962933749E-2,-1.493140604E-1,6.434650326E-1,6.666148475E-1
2.630707917E-1,6.180860701E-1,-1.245752803E0,-5.174949574E-1,1.483823260E0
2.730377917E-1,1.120602069E0,-4.457975686E-1,-8.826208305E-1,1.494491218E0
2.830057917E-1,8.205095132E-1,4.687641891E-1,-8.735032672E-1,1.286850296E0
2.929727917E-1,2.167051942E0,-4.075517350E-1,-9.616161293E-1,2.405601404E0
3.029397917E-1,8.362643972E-1,3.493086431E-2,9.378360879E-1,1.257018232E0
3.129067917E-1,-7.269590329E-1,8.537991737E-1,1.661979248E0,2.004898373E0
3.228747917E-1,-1.838419711E0,1.631250376E0,1.640256842E0,2.954861643E0
3.328420417E-1,-1.229545198E0,1.932111548E0,1.652859930E0,2.824319808E0
3.428090417E-1,8.488943830E-1,1.245866385E0,5.122950286E-1,1.592247129E0
3.527760417E-1,2.206807015E0,3.785228674E-1,-1.093255665E0,2.491683108E0
3.627440417E-1,2.697526987E0,-1.820661425E-1,-1.764859253E0,3.228703782E0
3.727110417E-1,2.188775956E0,-3.375859259E-1,-1.859347919E0,2.891691396E0
3.826780417E-1,9.268097010E-1,-1.741122481E-1,-1.659528095E0,1.908749537E0
3.926450417E-1,-9.992742446E-1,4.658558571E-1,-1.094938493E0,1.553853597E0
4.026130417E-1,-9.431851208E-2,3.393285424E-1,-1.269896541E0,1.317830439E0
4.125800417E-1,1.126336287E0,4.064610100E-1,-1.835983030E0,2.191957498E0
4.225470417E-1,2.422814271E-1,9.051508833E-1,-2.546850672E0,2.713751417E0
4.325140417E-1,-1.468665621E0,8.221461488E-1,-3.599367616E0,3.973455703E0
4.424820417E-1,-2.327665747E0,-6.492938295E-2,-4.098456123E0,4.713765612E0
4.524490417E-1,-2.216567480E0,-1.433196995E0,-4.024126902E0,4.812569204E0
4.624160417E-1,-1.749710287E0,-2.116257472E0,-3.902584339E0,4.771812685E0
4.723830417E-1,-2.251452553E0,-8.059650028E-1,2.755194567E0,3.648248249E0
4.823510417E-1,-4.675829785E-1,-9.157558322E-2,-1.139811780E0,1.235390960E0
4.923180417E-1,-5.404008400E-1,4.941645670E-1,-5.232199663E-1,8.999949002E-1
5.022850417E-1,2.847586714E-1,1.449117355E0,-5.549399418E0,5.742548433E0
5.122520417E-1,-1.882769819E-1,4.092786370E0,-8.663319495E0,9.583290310E0
5.222200417E-1,-8.942380786E-2,2.223002194E0,-6.544394377E0,6.912223459E0
5.321870417E-1,-7.383453159E-1,-1.058591762E0,-2.741048398E0,3.029705703E0
5.421540417E-1,-1.603969606E0,-1.579964155E0,-1.925516766E0,2.962536083E0
5.521210417E-1,-1.926156451E0,-1.731304714E0,-1.976520274E0,3.257932946E0
5.620890417E-1,-1.957836958E0,-1.419839323E0,-3.200906181E0,4.011841178E0
5.720560417E-1,-1.241315936E0,-1.494729000E0,-4.916803774E0,5.286779680E0
5.820230417E-1,-9.137546226E-2,-1.455377238E0,-5.940114461E0,6.116488550E0
5.919900417E-1,2.575463144E-1,-1.341512654E0,-6.822926495E0,6.958326829E0
6.019580417E-1,5.532211527E-1,-1.926091547E0,-7.731349334E0,7.986841980E0
6.119250417E-1,7.577998795E-1,-2.467531437E0,-8.623598190E0,9.001634173E0
6.218920417E-1,2.555130914E-1,-3.282726270E0,-9.179450297E0,9.752122152E0
6.318590417E-1,-3.633769709E-1,-4.538737721E0,-9.403614419E0,1.044797335E1
6.418270417E-1,-1.839937502E-1,-5.649316639E0,-9.639175934E0,1.117418207E1
6.517940417E-1,1.960197186E-1,-6.683801354E0,-1.018014278E1,1.217977551E1
6.617610417E-1,7.056946099E-1,-7.714473100E0,-1.107540062E1,1.351575373E1
6.717280417E-1,1.546492646E0,-9.152397569E0,-1.187871917E1,1.507521111E1
6.816960417E-1,2.172001464E0,-1.076691438E1,-1.236517243E1,1.653909081E1
6.916630417E-1,2.957004198E0,-1.196510944E1,-1.230357084E1,1.741509613E1
7.016300417E-1,3.972060955E0,-1.319838546E1,-1.152445742E1,1.796629527E1
7.115970417E-1,4.943446612E0,-1.437691516E1,-1.003307946E1,1.821526935E1
7.215650417E-1,5.616641228E0,-1.512079677E1,-8.278090310E0,1.813041458E1
7.315320417E-1,5.777587593E0,-1.582086168E1,-6.658808016E0,1.811131985E1
7.414990417E-1,5.726639634E0,-1.692812201E1,-5.774710178E0,1.878038854E1
7.514660417E-1,6.341025878E0,-1.820737819E1,-5.452361366E0,2.003610426E1
7.614340417E-1,5.950288616E0,-1.949353993E1,-3.935709693E0,2.075798267E1
7.714010417E-1,5.274943394E0,-1.981131622E1,-2.480105875E0,2.065100974E1
7.813680417E-1,5.153440007E0,-2.052484493E1,-1.306648923E0,2.120222947E1
7.913350417E-1,4.940038270E0,-2.079912378E1,-7.071593374E-2,2.137785136E1
8.013020417E-1,5.068280573E0,-2.074893596E1,1.041220708E0,2.138433894E1
8.112700417E-1,4.761013484E0,-2.083521747E1,2.034824615E0,2.146890886E1
8.212370417E-1,4.371536881E0,-2.098603354E1,3.277274326E0,2.168558197E1
8.312040417E-1,4.531332514E0,-2.078116347E1,4.313246573E0,2.170239216E1
8.411720417E-1,5.007356679E0,-2.049719929E1,4.909636257E0,2.166364069E1
8.511390417E-1,5.198404511E0,-2.033422570E1,5.400189584E0,2.167178331E1
8.611060417E-1,5.381827573E0,-2.020510748E1,5.788614857E0,2.169604799E1
8.710730417E-1,5.770735826E0,-2.005406688E1,6.027646694E0,2.172094646E1
8.810410417E-1,6.214986221E0,-2.037368037E1,6.361409272E0,2.223016944E1
8.910080417E-1,6.140358208E0,-2.054304614E1,7.196727297E0,2.261666703E1
9.009750417E-1,6.302464076E0,-2.070068707E1,7.864455936E0,2.302366535E1
9.109420417E-1,6.710711995E0,-2.103665405E1,7.614830114E0,2.335722815E1
9.209090417E-1,7.286056965E0,-2.117393498E1,7.322837706E0,2.355941639E1
9.308770417E-1,8.194044771E0,-2.122106120E1,7.295321878E0,2.388927645E1
9.408440417E-1,9.066237677E0,-2.110595525E1,7.265726781E0,2.409250503E1
9.508110417E-1,9.461647450E0,-2.093399800E1,7.357717516E0,2.412241803E1
9.607780417E-1,9.933734100E0,-2.087763318E1,7.772181026E0,2.439183138E1
9.707460417E-1,1.096595477E1,-2.056912940E1,8.066857306E0,2.466607863E1
9.807130417E-1,1.181181650E1,-1.963809830E1,8.370994381E0,2.439769376E1
9.906800417E-1,1.241513338E1,-1.857683802E1,8.592996787E0,2.393896492E1
1.000647042E0,1.312235762E1,-1.742919448E1,9.327463206E0,2.372708704E1
1.010615042E0,1.428851929E1,-1.607572660E1,1.041915123E1,2.389873390E1
1.020582042E0,1.527802956E1,-1.449846123E1,1.088293250E1,2.370784227E1
1.030549042E0,1.563671064E1,-1.344431584E1,1.068498788E1,2.322553151E1
1.040516042E0,1.512838177E1,-1.274108992E1,1.082152036E1,2.254570049E1
1.050484042E0,1.446004035E1,-1.204625944E1,1.138910140E1,2.199810819E1
1.060451042E0,1.386759578E1,-1.130829054E1,1.194795254E1,2.151606882E1
1.070418042E0,1.353048626E1,-1.032238332E1,1.277595570E1,2.128028900E1
1.080385042E0,1.403367191E1,-9.031616313E0,1.360598667E1,2.153222965E1
1.090353042E0,1.541034387E1,-7.581106882E0,1.429665745E1,2.234605768E1
1.100320042E0,1.741708957E1,-6.061300929E0,1.516691025E1,2.387738563E1
1.110287042E0,1.923690563E1,-4.307129801E0,1.600193942E1,2.539039131E1
1.120254042E0,2.005117368E1,-2.736841326E0,1.590310277E1,2.573807576E1
1.130222042E0,1.922399615E1,-1.656879306E0,1.515150868E1,2.453315089E1
1.140189042E0,1.761072362E1,-6.185342592E-1,1.502005743E1,2.315431485E1
1.150156042E0,1.665134756E1,7.559929436E-1,1.602179657E1,2.312005333E1
1.160123042E0,1.665953483E1,2.101920245E0,1.781229118E1,2.447929506E1
1.170091042E0,1.794037678E1,3.398659015E0,2.001393394E1,2.709179864E1
1.180058042E0,1.973537258E1,4.625389071E0,2.165349788E1,2.966063259E1
1.190025042E0,2.195200760E1,5.423873731E0,2.214198129E1,3.164769153E1
1.199992042E0,2.210527481E1,7.158235661E0,2.206519098E1,3.204303614E1
1.209960042E0,2.184231149E1,8.479850240E0,2.134726049E1,3.169700241E1
1.219927042E0,2.297974229E1,8.356265829E0,2.016210004E1,3.169236520E1
1.229894042E0,2.263572486E1,8.492984256E0,1.926445654E1,3.091320280E1
1.239861042E0,2.280850073E1,8.498787033E0,1.829220608E1,3.044769104E1
1.249829042E0,2.271007104E1,8.402636003E0,1.744323364E1,2.984322399E1
1.259796042E0,2.240049138E1,8.013669863E0,1.659534761E1,2.900700744E1
1.269763042E0,2.253567900E1,7.518362750E0,1.576249594E1,2.851032944E1
1.279730042E0,2.257807599E1,6.646640545E0,1.490170393E1,2.785692241E1
1.289698042E0,2.274645241E1,5.375468141E0,1.407991286E1,2.728627313E1
1.299665042E0,2.234653327E1,3.865637537E0,1.309436934E1,2.618727193E1
1.309632042E0,2.113594679E1,2.126053458E0,1.214404711E1,2.446888290E1
1.319599042E0,2.111844724E1,4.344340897E-1,1.142399758E1,2.401427217E1
1.329567042E0,2.142134471E1,-5.142743111E-1,1.118568729E1,2.417143122E1
1.339533958E0,2.145084040E1,-2.328933715E0,1.056620403E1,2.402513588E1
1.349500958E0,2.167190492E1,-4.142717791E0,9.657158461E0,2.408514652E1
1.359467958E0,2.158542694E1,-5.585990708E0,9.045391769E0,2.406144344E1
1.369435958E0,2.185300488E1,-7.122022101E0,8.538204868E0,2.451893072E1
1.379402958E0,2.216165601E1,-8.732880896E0,7.949715942E0,2.511175400E1
1.389369958E0,2.221179237E1,-1.037401307E1,7.102235708E0,2.552304095E1
1.399336958E0,2.214503588E1,-1.208840968E1,6.131661644E0,2.596400464E1
1.409304958E0,2.202062350E1,-1.369053273E1,5.001766741E0,2.640750303E1
1.419271958E0,2.164239987E1,-1.596797411E1,3.967553044E0,2.718659866E1
1.429238958E0,2.148335794E1,-1.809262775E1,3.367062123E0,2.828807089E1
1.439205958E0,2.184207760E1,-1.958205391E1,3.016901029E0,2.948957241E1
1.449173958E0,2.304672331E1,-2.157569483E1,2.893137108E0,3.170224448E1
1.459140958E0,2.450777176E1,-2.394239747E1,2.595522895E0,3.435994779E1
1.469107958E0,2.552708179E1,-2.668570289E1,2.142611750E0,3.699120745E1
1.479074958E0,2.569208787E1,-2.913845315E1,1.905749084E0,3.889427607E1
1.489042958E0,2.523138107E1,-3.078821932E1,1.604419696E0,3.983856426E1
1.499009958E0,2.438865930E1,-3.247989833E1,1.173032371E0,4.063405595E1
1.508976958E0,2.305274360E1,-3.317015980E1,1.030519134E0,4.040730699E1
1.518943958E0,2.198184711E1,-3.293185068E1,1.368854234E0,3.961795241E1
1.528910958E0,2.027786322E1,-3.353450916E1,1.568312116E0,3.922007960E1
1.538878958E0,1.696484603E1,-3.407003927E1,1.894426682E0,3.810724904E1
1.548845958E0,1.319808023E1,-3.376695703E1,2.123509920E0,3.631674550E1
1.558812958E0,1.035639891E1,-3.415716512E1,1.921917804E0,3.574437992E1
1.568779958E0,6.935055041E0,-3.363150979E1,1.451204081E0,3.436974589E1
1.578747958E0,3.341559784E0,-3.278216196E1,1.223791831E0,3.297474535E1
1.588714958E0,5.958897471E-2,-3.074575918E1,4.258936465E-1,3.074876654E1
1.598681958E0,-1.900559095E0,-2.837640892E1,-1.649195480E-1,2.844046249E1
1.608648958E0,-3.123482029E0,-2.607848825E1,3.532826301E-1,2.626725144E1
1.618616958E0,-3.534096317E0,-2.428543490E1,1.388811658E0,2.458050005E1
1.628583958E0,-3.076071635E0,-2.241342074E1,2.610296470E0,2.277360959E1
1.638550958E0,-2.458200451E0,-2.097686510E1,3.928629007E0,2.148268477E1
1.648517958E0,-2.209851075E0,-1.976993664E1,5.329783845E0,2.059467000E1
1.658485958E0,-2.411039733E0,-1.848177866E1,6.059397075E0,1.959861087E1
1.668452958E0,-3.030727063E0,-1.738266350E1,6.446095081E0,1.878548479E1
1.678419958E0,-3.901224276E0,-1.602522303E1,7.022227671E0,1.792593109E1
1.688386958E0,-4.752782359E0,-1.488395296E1,7.929697999E0,1.752144703E1
1.698354958E0,-5.575707795E0,-1.438443936E1,8.611278691E0,1.766790123E1
1.708321958E0,-6.369582510E0,-1.399761798E1,9.078168336E0,1.785827625E1
1.718288958E0,-6.907548569E0,-1.358696100E1,9.094928795E0,1.774929481E1
1.728255958E0,-7.676247513E0,-1.285801903E1,8.621760410E0,1.727970434E1
1.738223958E0,-8.576419930E0,-1.224578749E1,7.830809303E0,1.687708104E1
1.748190958E0,-9.514934295E0,-1.174400634E1,6.924617177E0,1.662546188E1
1.758157958E0,-1.053650485E1,-1.112694382E1,6.133757286E0,1.650605319E1
1.768124958E0,-1.113673674E1,-1.085195044E1,5.948447328E0,1.664859631E1
1.778092958E0,-1.192163656E1,-1.044202320E1,6.198626881E0,1.701717492E1
1.788059958E0,-1.253775183E1,-1.024966501E1,6.587253299E0,1.748264167E1
1.798026958E0,-1.315944651E1,-1.008862801E1,7.217573791E0,1.808438053E1
1.807993958E0,-1.387265011E1,-9.720235884E0,8.038455040E0,1.874967110E1
1.817961958E0,-1.425393418E1,-9.311143627E0,9.052434740E0,1.928259863E1
1.827928958E0,-1.412311677E1,-8.950761600E0,9.950308617E0,1.945731744E1
1.837895958E0,-1.373306304E1,-8.562505311E0,1.040381632E1,1.923935841E1
1.847862958E0,-1.315235618E1,-8.146459545E0,1.047402267E1,1.868299834E1
1.857830958E0,-1.244117922E1,-7.770589998E0,1.020728322E1,1.787046838E1
1.867797958E0,-1.204781480E1,-7.506309884E0,9.668238934E0,1.717467245E1
1.877764958E0,-1.203668053E1,-7.179694358E0,9.111829587E0,1.671691143E1
1.887731958E0,-1.205442800E1,-6.912452044E0,8.519217789E0,1.629933432E1
1.897699958E0,-1.194524879E1,-6.841018950E0,8.032336514E0,1.593759514E1
1.907666958E0,-1.179478707E1,-7.136434318E0,7.747026304E0,1.581335237E1
1.917633958E0,-1.136672410E1,-7.630704719E0,7.492955428E0,1.560687196E1
1.927600958E0,-1.111879280E1,-8.250348195E0,7.299237759E0,1.565166670E1
1.937568958E0,-1.103907421E1,-9.072785974E0,7.271298593E0,1.603272865E1
1.947535958E0,-1.100532758E1,-9.983214408E0,7.312040822E0,1.656042711E1
1.957502958E0,-1.101601045E1,-1.104381981E1,7.104433676E0,1.714034480E1
1.967469958E0,-1.116775622E1,-1.207984234E1,6.699853715E0,1.776314752E1
1.977436958E0,-1.100131172E1,-1.328842088E1,6.417494010E0,1.840639070E1
1.987404958E0,-1.043348393E1,-1.461708136E1,6.134209276E0,1.897749134E1
1.997371958E0,-9.947755723E0,-1.537432034E1,5.799366133E0,1.920833719E1
2.007338958E0,-9.503055677E0,-1.553037785E1,5.583057160E0,1.904392897E1
2.017305958E0,-8.242356806E0,-1.573580808E1,5.274969707E0,1.853044541E1
2.027273958E0,-7.047675923E0,-1.591926798E1,4.622392958E0,1.801275508E1
2.037240958E0,-5.783670452E0,-1.600616696E1,3.478707105E0,1.737094205E1
2.047207958E0,-4.191225708E0,-1.587680667E1,2.191859193E0,1.656633966E1
2.057174958E0,-2.710859224E0,-1.596674503E1,1.300163776E0,1.624734226E1
2.067142958E0,-1.133906677E0,-1.652827069E1,8.748184521E-1,1.659020144E1
2.077109958E0,2.952884835E-1,-1.703976173E1,9.328719480E-1,1.706783305E1
2.087076958E0,1.393625379E0,-1.765175003E1,1.195924147E0,1.774701962E1
2.097043958E0,2.369887614E0,-1.874228849E1,1.397427531E0,1.894313989E1
2.107011958E0,3.000723245E0,-1.993752954E1,1.784965635E0,2.024093689E1
2.116978958E0,3.754574938E0,-2.133402707E1,2.285049923E0,2.178207972E1
2.126945958E0,4.550215513E0,-2.271019734E1,2.504494611E0,2.329656665E1
2.136912958E0,5.172277982E0,-2.375705476E1,2.580935261E0,2.445018072E1
2.146880958E0,6.450798581E0,-2.467094182E1,2.136967871E0,2.558974022E1
2.156847958E0,7.925687978E0,-2.547983628E1,1.492508812E0,2.672575854E1
2.166814958E0,9.655442303E0,-2.616409851E1,1.096549401E0,2.791039300E1
2.176781958E0,1.112092704E1,-2.636430016E1,1.052178390E0,2.863316993E1
2.186749958E0,1.259416109E1,-2.609444414E1,1.187505180E0,2.899901855E1
2.196716958E0,1.419717292E1,-2.542949409E1,1.046486710E0,2.914299270E1
2.206683958E0,1.519899275E1,-2.448257494E1,1.206424431E0,2.884200611E1
2.216650958E0,1.618303705E1,-2.319786916E1,1.733463213E0,2.833790247E1
2.226618958E0,1.693105497E1,-2.173347610E1,2.319433744E0,2.764750221E1
2.236585958E0,1.765223067E1,-2.003636853E1,2.949280611E0,2.686550889E1
2.246552958E0,1.823824798E1,-1.830727436E1,3.462365599E0,2.607255184E1
2.256519958E0,1.844462078E1,-1.681650334E1,4.180100795E0,2.530754952E1
2.266487958E0,1.812749820E1,-1.526852550E1,5.132193564E0,2.425022624E1
2.276454958E0,1.794880963E1,-1.399446633E1,5.942565029E0,2.352273228E1
2.286421958E0,1.801266240E1,-1.297121996E1,6.550344504E0,2.314336983E1
2.296388958E0,1.768622404E1,-1.198666813E1,6.878483815E0,2.244540651E1
2.306356958E0,1.730744375E1,-1.116499166E1,6.976246337E0,2.174563544E1
2.316323958E0,1.691846124E1,-1.011478729E1,6.987600460E0,2.091338836E1
2.326290958E0,1.651763577E1,-9.325642968E0,6.949411125E0,2.020134212E1
2.336257917E0,1.597423297E1,-8.662397974E0,7.232578331E0,1.955820664E1
2.346224917E0,1.549289369E1,-8.300891528E0,7.805524188E0,1.923176442E1
2.356192917E0,1.534485505E1,-7.780236735E0,8.783723606E0,1.931710280E1
2.366159917E0,1.517582608E1,-6.720954562E0,1.014636225E1,1.945316412E1
2.376126917E0,1.483559882E1,-5.681211446E0,1.134731252E1,1.952261912E1
2.386094917E0,1.477590343E1,-4.635123516E0,1.245845306E1,1.987522943E1
2.396061917E0,1.474076049E1,-3.524629675E0,1.339096117E1,2.022451174E1
2.406028917E0,1.461998275E1,-2.407565902E0,1.398542653E1,2.037479875E1
2.415995917E0,1.439198227E1,-1.336452473E0,1.427354107E1,2.031376955E1
2.425962917E0,1.402809016E1,-7.133831137E-1,1.429183349E1,2.003878074E1
2.435930917E0,1.359046466E1,-1.393596143E-1,1.438824122E1,1.979246412E1
2.445897917E0,1.321573064E1,4.942698169E-1,1.484960641E1,1.988493524E1
2.455864917E0,1.280026959E1,9.090689564E-1,1.541016144E1,2.005358780E1
2.465831917E0,1.254244597E1,1.500509557E0,1.600660199E1,2.039058085E1
2.475799917E0,1.236794401E1,2.280458543E0,1.673888038E1,2.093696842E1
2.485766917E0,1.233648482E1,3.008131083E0,1.745785753E1,2.158736899E1
2.495733917E0,1.245205036E1,4.015344384E0,1.798361460E1,2.223931075E1
2.505700917E0,1.258446757E1,4.958126632E0,1.835555131E1,2.280083568E1
2.515668917E0,1.268914911E1,5.651155588E0,1.872859314E1,2.331759562E1
2.525635917E0,1.287596882E1,6.289720069E0,1.910275063E1,2.388024776E1
2.535602917E0,1.317615317E1,6.710142476E0,1.975942569E1,2.467938265E1
2.545569917E0,1.352923729E1,6.772742767E0,2.028833207E1,2.530862945E1
2.555537917E0,1.389553845E1,6.536981862E0,2.065242650E1,2.573598339E1
2.565504917E0,1.443261574E1,6.423670424E0,2.098852913E1,2.626941746E1
2.575471917E0,1.525982952E1,6.520516103E0,2.122194530E1,2.693975667E1
2.585438917E0,1.616098135E1,6.520876291E0,2.111517046E1,2.737790294E1
2.595406917E0,1.707428486E1,6.004025112E0,2.061005055E1,2.742906679E1
2.605373917E0,1.786361102E1,5.192260841E0,2.010067387E1,2.738804961E1
2.615340917E0,1.841086363E1,4.201643692E0,1.928981826E1,2.699464387E1
2.625307917E0,1.868582661E1,3.012346925E0,1.797011221E1,2.609902839E1
2.635275917E0,1.894127275E1,1.874908530E0,1.666462776E1,2.529816028E1
2.645242917E0,1.928563867E1,7.548889893E-1,1.525249477E1,2.459968116E1
2.655209917E0,1.934836409E1,-5.113898796E-1,1.390877070E1,2.383431591E1
2.665176917E0,1.912215987E1,-1.502677705E0,1.258026810E1,2.293857415E1
2.675144917E0,1.869095695E1,-2.394168177E0,1.116173593E1,2.190133014E1
2.685111917E0,1.821055556E1,-3.655631279E0,9.747530102E0,2.097623219E1
2.695078917E0,1.789665364E1,-5.091831989E0,8.734454382E0,2.055499107E1
2.705045917E0,1.786486584E1,-6.425547380E0,7.744918383E0,2.050426422E1
2.715013917E0,1.800988731E1,-7.903408917E0,6.819339813E0,2.081641921E1
2.724980917E0,1.840338738E1,-9.386221291E0,6.038038951E0,2.152309763E1
2.734947917E0,1.896184325E1,-1.097360761E1,5.409086123E0,2.256612010E1
